"code";"diagosis"
"2.1.10.8.1";"Congenital hydrocephalus (Nonsurgical)"
"2.1.10.8.2";"Secondary hydrocephalus (Nonsurgical)"
"2.1.10.8.3";"Arnold-Chiari malformation (Nonsurgical)"
"2.1.10.8.4";"Congenital abnormality of skull (Nonsurgical)"
"2.1.10.8.5";"Parkinson's Disease (Nonsurgical)"
"2.1.10.8.6";"Multiple sclerosis (Nonsurgical)"
"2.1.10.8.7";"Central hypoventilation (Ondine's curse) (Nonsurgical)"
"2.1.10.15.1";"Intracerebral bleeding (Nonsurgical)"
"2.1.10.15.2";"Subarachnoid bleeding (Nonsurgical)"
"2.1.10.15.3";"Subdural haematoma (Nonsurgical)"
"2.1.10.15.4";"Extradural haematoma (Nonsurgical)"
"2.1.10.27.1";"Meningitis (Nonsurgical)"
"2.1.10.27.2";"Encephalitis (Nonsurgical)"
"2.1.10.27.3";"Intracranial abscess (Nonsurgical)"
"2.1.10.27.4";"Infected CSF shunt (Nonsurgical)"
"2.1.10.33.1";"Status epilepticus or uncontrolled seizures (Nonsurgical)"
"2.1.10.33.2";"Eclampsia (Nonsurgical)"
"2.1.10.33.3";"Alcohol withdrawal seizures (Nonsurgical)"
"2.1.10.38.1";"Primary brain injury (Nonsurgical)"
"2.1.10.38.2";"Subdural haematoma (Nonsurgical)"
"2.1.10.38.3";"Extradural haematoma (Nonsurgical)"
"2.1.10.38.4";"Non-accidental injury to brain (Nonsurgical)"
"2.1.10.39.1";"Primary brain or meningeal tumour (Nonsurgical)"
"2.1.10.39.2";"Secondary intracranial tumour (Nonsurgical)"
"2.1.10.41.1";"Berry or other intracranial aneurysm (Nonsurgical)"
"2.1.10.41.2";"Intracranial arterio-venous malformation (Nonsurgical)"
"2.1.10.41.3";"Thrombo-occlusive disease of brain (Nonsurgical)"
"2.1.10.41.4";"Venous air embolus (Nonsurgical)"
"2.1.10.41.5";"Vasculitis of cerebral circulation (Nonsurgical)"
"2.1.10.41.6";"Embolic brain lesions causing respiratory failure (Nonsurgical)"
"2.1.6.9.1";"Motor neurone disease (Nonsurgical)"
"2.1.6.9.2";"Chronic spinal cord injury (Nonsurgical)"
"2.1.6.12.1";"Epidural injection or infusion (Nonsurgical)"
"2.1.6.12.2";"Spinal injection or infusion (Nonsurgical)"
"2.1.6.27.1";"Epidural or subdural abscess (Nonsurgical)"
"2.1.6.27.2";"Poliomyelitis (Nonsurgical)"
"2.1.6.27.3";"Tetanus (Nonsurgical)"
"2.1.6.38.1";"Cervical cord injury (Nonsurgical)"
"2.1.6.38.2";"Chronic spinal cord injury (Nonsurgical)"
"2.1.7.8.1";"Pseudocholinesterase deficiency (Nonsurgical)"
"2.1.7.8.2";"Failure of reversal of non-depolarising neuromuscular blockers (Nonsurgical)"
"2.1.7.27.1";"Infective polyneuropathy (Nonsurgical)"
"2.1.7.28.1";"Guillain-Barre syndrome (Nonsurgical)"
"2.1.7.28.2";"Toxic polyneuropathy (Nonsurgical)"
"2.1.8.8.1";"Pseudocholinesterase deficiency (Nonsurgical)"
"2.1.8.8.2";"Failure of reversal of non-depolarising neuromuscular blockers (Nonsurgical)"
"2.1.8.28.1";"Myasthenia gravis (Nonsurgical)"
"2.1.9.8.1";"Thoracoplasty (Nonsurgical)"
"2.1.9.8.2";"Kyphoscoliosis (Nonsurgical)"
"2.1.9.8.3";"Congenital chest wall deformity (Nonsurgical)"
"2.1.9.8.4";"Congenital muscular dystrophy (Nonsurgical)"
"2.1.9.8.5";"Diaphragmatic hernia (Nonsurgical)"
"2.1.9.8.6";"Ankylosing spondylitis (Nonsurgical)"
"2.1.9.38.1";"Flail chest (Nonsurgical)"
"2.1.9.38.2";"Flail sternum (Nonsurgical)"
"2.1.9.38.3";"Fractured ribs (Nonsurgical)"
"2.1.9.38.4";"Penetrating injury to chest wall (Nonsurgical)"
"2.1.9.38.5";"Ruptured diaphragm (Nonsurgical)"
"2.2.1.8.1";"Coronary sinus fistula (Nonsurgical)"
"2.2.1.8.2";"Anomalous coronary artery (Nonsurgical)"
"2.2.1.15.1";"Haemorrhage from coronary arteries (Nonsurgical)"
"2.2.1.27.1";"Mediastinitis (Nonsurgical)"
"2.2.1.28.1";"Kawasaki syndrome (Nonsurgical)"
"2.2.1.30.1";"Acute myocardial infarction (Nonsurgical)"
"2.2.1.30.2";"Acute crescendo or unstable angina (Nonsurgical)"
"2.2.1.30.3";"Chronic angina (Nonsurgical)"
"2.2.1.30.4";"CABG for acute myocardial infarction (Nonsurgical)"
"2.2.1.30.5";"CABG for acute crescendo or unstable angina (Nonsurgical)"
"2.2.1.30.6";"CABG for chronic angina (Nonsurgical)"
"2.2.1.30.7";"Myocardial ischaemia without angina (Nonsurgical)"
"2.2.1.38.1";"Traumatic damage to coronary arteries (Nonsurgical)"
"2.2.1.38.2";"Instrumental damage to coronary arteries (Nonsurgical)"
"2.2.2.8.1";"Complex congenital cardiac abnormality (Nonsurgical)"
"2.2.2.8.2";"Atrial septal defect (Nonsurgical)"
"2.2.2.8.3";"Congenital ventricular septal defect (Nonsurgical)"
"2.2.2.8.4";"Ischaemic ventricular septal defect (Nonsurgical)"
"2.2.2.8.6";"Tetralogy of Fallot (Nonsurgical)"
"2.2.2.8.7";"AV canal defect (Nonsurgical)"
"2.2.2.8.8";"Transposition of great arteries (Nonsurgical)"
"2.2.2.8.9";"Hypertrophic cardiomyopathy (Nonsurgical)"
"2.2.2.8.10";"Toxic myocarditis (Nonsurgical)"
"2.2.2.8.12";"Single ventricle (Nonsurgical)"
"2.2.2.8.13";"Right ventricular outflow tract obstruction (Nonsurgical)"
"2.2.2.8.14";"Left ventricular outflow tract obstruction (Nonsurgical)"
"2.2.2.8.15";"Double outlet left ventricle (Nonsurgical)"
"2.2.2.8.16";"Hypoplastic left or right ventricle (Nonsurgical)"
"2.2.2.8.17";"Ventricular aneurysm (Nonsurgical)"
"2.2.2.13.1";"Left ventricular failure (Nonsurgical)"
"2.2.2.13.2";"Right ventricular failure (Nonsurgical)"
"2.2.2.13.3";"Bi-ventricular failure (Nonsurgical)"
"2.2.2.13.4";"Cardiogenic shock (Nonsurgical)"
"2.2.2.13.5";"Cor pulmonale (Nonsurgical)"
"2.2.2.27.1";"Viral or bacterial cardiomyopathy (Nonsurgical)"
"2.2.2.27.2";"Myocardial or septal abscess (Nonsurgical)"
"2.2.2.27.3";"Myocarditis (Nonsurgical)"
"2.2.2.27.4";"Non-valvular endocarditis (Nonsurgical)"
"2.2.2.28.1";"Toxic myopathy (Nonsurgical)"
"2.2.2.28.2";"Myocarditis (Nonsurgical)"
"2.2.2.37.1";"Heart or heart-lung transplant (Nonsurgical)"
"2.2.2.37.2";"Cardiac transplant rejection (Nonsurgical)"
"2.2.2.38.1";"Myocardial contusion (Nonsurgical)"
"2.2.2.38.2";"Instrumental damage to myocardium (Nonsurgical)"
"2.2.2.38.3";"Ischaemic myocardial perforation (Nonsurgical)"
"2.2.2.38.4";"Ischaemic ventricular septal defect (Nonsurgical)"
"2.2.2.38.5";"Traumatic myocardial perforation (Nonsurgical)"
"2.2.2.38.6";"Haemopericardium or tamponade post surgery (Nonsurgical)"
"2.2.2.38.7";"Papillary muscle rupture (Nonsurgical)"
"2.2.2.39.1";"Myxoma (Nonsurgical)"
"2.2.2.41.1";"Ischaemic cardiomyopathy (Nonsurgical)"
"2.2.2.41.2";"Ischaemic ventricular septal defect (Nonsurgical)"
"2.2.2.41.3";"Papillary muscle rupture (Nonsurgical)"
"2.2.2.41.4";"Acute myocardial infarction (Nonsurgical)"
"2.2.3.8.1";"Constrictive pericarditis (Nonsurgical)"
"2.2.3.8.2";"Pericardial effusion (Nonsurgical)"
"2.2.3.15.1";"Haemopericardium from instrumental myocardial perforation (Nonsurgical)"
"2.2.3.15.2";"Haemopericardium from ischaemic myocardial perforation (Nonsurgical)"
"2.2.3.15.3";"Haemopericardium from traumatic myocardial perforation (Nonsurgical)"
"2.2.3.15.4";"Haemopericardium from coronary artery damage (Nonsurgical)"
"2.2.3.15.5";"Haemopericardium or tamponade post surgery (Nonsurgical)"
"2.2.3.27.1";"Infective pericarditis (Nonsurgical)"
"2.2.3.27.2";"Mediastinitis (Nonsurgical)"
"2.2.3.28.1";"Pericardial effusion (Nonsurgical)"
"2.2.3.39.1";"Malignant pericardial effusion (Nonsurgical)"
"2.2.4.8.1";"Abnormality of aortic valve (Nonsurgical)"
"2.2.4.8.2";"Abnormality of mitral valve (Nonsurgical)"
"2.2.4.8.3";"Abnormality of pulmonary valve (Nonsurgical)"
"2.2.4.8.4";"Abnormality of tricuspid valve (Nonsurgical)"
"2.2.4.8.5";"Tetralogy of Fallot (Nonsurgical)"
"2.2.4.8.6";"AV canal defect (Nonsurgical)"
"2.2.4.8.7";"Abnormality of prosthetic valve (Nonsurgical)"
"2.2.4.9.1";"Chronic degeneration of aortic valve (Nonsurgical)"
"2.2.4.9.2";"Chronic degeneration of mitral valve (Nonsurgical)"
"2.2.4.9.3";"Chronic degeneration of pulmonary valve (Nonsurgical)"
"2.2.4.9.4";"Chronic degeneration of tricuspid valve (Nonsurgical)"
"2.2.4.27.1";"Endocarditis of aortic valve (Nonsurgical)"
"2.2.4.27.2";"Endocarditis of mitral valve (Nonsurgical)"
"2.2.4.27.3";"Endocarditis of pulmonary valve (Nonsurgical)"
"2.2.4.27.4";"Endocarditis of tricuspid valve (Nonsurgical)"
"2.2.4.27.5";"Aortic root abscess (Nonsurgical)"
"2.2.4.27.6";"Infection of prosthetic heart valve (Nonsurgical)"
"2.2.4.27.7";"Non-valvular endocarditis (Nonsurgical)"
"2.2.4.38.1";"Trauma to aortic valve (Nonsurgical)"
"2.2.4.38.2";"Trauma to mitral valve (Nonsurgical)"
"2.2.4.38.3";"Trauma to pulmonary valve (Nonsurgical)"
"2.2.4.38.4";"Trauma to tricuspid valve (Nonsurgical)"
"2.2.4.38.5";"Instrumental damage to heart valves (Nonsurgical)"
"2.2.4.38.6";"Papillary muscle rupture (Nonsurgical)"
"2.2.4.39.1";"Myxoma (Nonsurgical)"
"2.2.4.41.1";"Papillary muscle rupture (Nonsurgical)"
"2.2.5.8.1";"Wolff-Parkinson-White syndrome (Nonsurgical)"
"2.2.5.8.2";"Lown-Ganong-Levine syndrome (Nonsurgical)"
"2.2.5.27.1";"Infected artificial pacemaker (Nonsurgical)"
"2.2.5.32.1";"Supra-ventricular tachycardia, atrial fibrillation or flutter (Nonsurgical)"
"2.2.5.32.2";"Ventricular tachycardia or fibrillation (Nonsurgical)"
"2.2.5.32.3";"Atrial premature beats or ectopics (Nonsurgical)"
"2.2.5.32.4";"Ventricular ectopics (Nonsurgical)"
"2.2.5.40.1";"Heart block (Nonsurgical)"
"2.2.6.8.1";"Coarctation of the aorta (Nonsurgical)"
"2.2.6.8.2";"Marfan's syndrome (Nonsurgical)"
"2.2.6.8.3";"Congenital abnormality of aortic arch (Nonsurgical)"
"2.2.6.8.4";"Transposition of great arteries (Nonsurgical)"
"2.2.6.8.5";"Truncus arteriosus (Nonsurgical)"
"2.2.6.8.6";"Patent ductus arteriosus (Nonsurgical)"
"2.2.6.11.1";"Traumatic dissection of thoracic aorta (Nonsurgical)"
"2.2.6.11.2";"Non-traumatic dissection of thoracic aorta (Nonsurgical)"
"2.2.6.11.3";"Thoracic or thoraco-abdominal aortic aneurysm (Nonsurgical)"
"2.2.6.27.1";"Infected thoracic aortic prosthesis (Nonsurgical)"
"2.2.6.27.2";"Aortic root abscess (Nonsurgical)"
"2.2.6.27.3";"Syphilitic aortitis (Nonsurgical)"
"2.2.6.30.1";"Coarctation of the aorta (Nonsurgical)"
"2.2.6.38.1";"Traumatic rupture of thoracic aorta (Nonsurgical)"
"2.2.6.38.2";"Traumatic or instrumental perforation of thoracic aorta (Nonsurgical)"
"2.2.7.11.1";"Aortic or iliac dissection or aneurysm (Nonsurgical)"
"2.2.7.11.2";"Traumatic dissection or rupture of abdominal aorta or iliac vessels (Nonsurgical)"
"2.2.7.11.4";"Traumatic aorto-caval fistula (Nonsurgical)"
"2.2.7.11.5";"Traumatic aorto-enteric fistula (Nonsurgical)"
"2.2.7.27.1";"Infected aortic or iliac prosthesis (Nonsurgical)"
"2.2.7.30.1";"Occlusive aortic or iliac disease (Nonsurgical)"
"2.2.7.30.2";"Iliac or saddle embolus (Nonsurgical)"
"2.2.7.38.1";"Traumatic dissection or rupture of abdominal aorta or iliac vessels (Nonsurgical)"
"2.2.7.38.2";"Instrumental damage to abdominal aorta or iliac vessels (Nonsurgical)"
"2.2.7.38.3";"Traumatic aorto-enteric fistula (Nonsurgical)"
"2.2.7.38.4";"Traumatic aorto-caval fistula (Nonsurgical)"
"2.2.8.11.1";"Renal artery aneurysm or dissection (Nonsurgical)"
"2.2.8.11.2";"Hepatic artery aneurysm (Nonsurgical)"
"2.2.8.11.3";"Splanchnic artery aneurysm or dissection not defined (Nonsurgical)"
"2.2.8.30.1";"Renal artery stenosis or occlusion (Nonsurgical)"
"2.2.8.30.2";"Renal artery embolus (Nonsurgical)"
"2.2.8.30.3";"Renal infarction (Nonsurgical)"
"2.2.8.30.4";"Renal artery aneurysm or dissection (Nonsurgical)"
"2.2.8.30.5";"Hepatic artery stenosis or occlusion (Nonsurgical)"
"2.2.8.30.6";"Portal vein occlusion or thrombosis (Nonsurgical)"
"2.2.8.30.7";"Hepatic vein occlusion or thrombosis (Nonsurgical)"
"2.2.8.30.8";"Visceral artery stenosis or occlusion (Nonsurgical)"
"2.2.8.30.9";"Visceral artery embolism (Nonsurgical)"
"2.2.8.30.10";"Visceral infarction due to primary vascular disease (Nonsurgical)"
"2.2.8.30.11";"Small bowel infarction due to herniation, volvulus or adhesions (Nonsurgical)"
"2.2.8.30.12";"Portal hypertension (Nonsurgical)"
"2.2.8.38.1";"Traumatic damage to renal vessels (Nonsurgical)"
"2.2.8.38.2";"Traumatic damage to splanchnic vessels (Nonsurgical)"
"2.2.8.38.3";"Instrumental damage to renal or splanchnic vessels (Nonsurgical)"
"2.2.9.8.1";"Extracranial or neck arterio-venous malformation or haemangioma (Nonsurgical)"
"2.2.9.11.1";"Carotid or vertebral artery aneurysm or dissection (Nonsurgical)"
"2.2.9.15.1";"Epistaxis (Nonsurgical)"
"2.2.9.30.1";"Carotid or vertebral artery stenosis or occlusion (Nonsurgical)"
"2.2.9.38.1";"Traumatic rupture or puncture of carotid or vertebral artery (Nonsurgical)"
"2.2.9.38.2";"Instrumental damage to carotid or vertebral artery (Nonsurgical)"
"2.2.10.11.1";"Upper limb artery aneurysm or dissection (Nonsurgical)"
"2.2.10.11.2";"Lower limb artery aneurysm or dissection (Nonsurgical)"
"2.2.10.15.1";"Bleeding from limb vessel (Nonsurgical)"
"2.2.10.30.1";"Upper limb artery stenosis or occlusion (Nonsurgical)"
"2.2.10.30.2";"Lower limb artery stenosis or occlusion (Nonsurgical)"
"2.2.10.30.3";"Upper limb embolus (Nonsurgical)"
"2.2.10.30.4";"Lower limb embolus (Nonsurgical)"
"2.2.10.38.1";"Traumatic rupture or puncture of upper limb artery (Nonsurgical)"
"2.2.10.38.2";"Traumatic rupture or puncture of lower limb artery (Nonsurgical)"
"2.2.10.38.3";"Instrumental damage to limb artery (Nonsurgical)"
"2.2.11.27.1";"Infected thrombophlebitis of the great veins (Nonsurgical)"
"2.2.11.27.2";"Infected intravenous catheter in the great veins (Nonsurgical)"
"2.2.11.30.1";"Superior vena caval obstruction or thrombosis (Nonsurgical)"
"2.2.11.30.2";"Inferior vena caval obstruction or thrombosis (Nonsurgical)"
"2.2.11.38.1";"Superior vena caval damage (Nonsurgical)"
"2.2.11.38.2";"Traumatic inferior vena caval damage (Nonsurgical)"
"2.2.12.27.1";"Infected thrombophlebitis of the peripheral veins (Nonsurgical)"
"2.2.12.27.2";"Infected intravenous catheter in the peripheral veins (Nonsurgical)"
"2.2.12.27.3";"Infected arterio-venous shunt or fistula (Nonsurgical)"
"2.2.12.35.1";"Hypovolaemic shock (Nonsurgical)"
"2.2.12.35.2";"Septic shock (Nonsurgical)"
"2.2.12.35.3";"Anaphylaxis (Nonsurgical)"
"2.2.12.35.4";"Cardiogenic shock (Nonsurgical)"
"2.2.12.19.1";"Accelerated or malignant hypertension (Nonsurgical)"
"2.2.12.19.2";"Essential hypertension (Nonsurgical)"
"2.2.12.19.3";"Phaeochromocytoma (Nonsurgical)"
"2.2.12.19.4";"HELLP syndrome (Nonsurgical)"
"2.2.12.19.5";"Pre-eclampsia (Nonsurgical)"
"2.2.12.19.6";"Coarctation of the aorta (Nonsurgical)"
"2.2.13.8.1";"Anomalous pulmonary venous drainage (Nonsurgical)"
"2.2.13.8.2";"Pulmonary arterio-venous malformations (Nonsurgical)"
"2.2.13.8.3";"Transposition of great arteries (Nonsurgical)"
"2.2.13.8.4";"Patent ductus arteriosus (Nonsurgical)"
"2.2.13.8.5";"Truncus arteriosus (Nonsurgical)"
"2.2.13.15.1";"Goodpasture's syndrome (Nonsurgical)"
"2.2.13.15.2";"Pulmonary vasculitis not defined (Nonsurgical)"
"2.2.13.15.3";"Leptospirosis (Nonsurgical)"
"2.2.13.15.4";"Pulmonary haemorrhage due to contusion (Nonsurgical)"
"2.2.13.19.1";"Idiopathic pulmonary hypertension (Nonsurgical)"
"2.2.13.19.2";"Eisenmenger's syndrome (Nonsurgical)"
"2.2.13.19.3";"Cor pulmonale (Nonsurgical)"
"2.2.13.28.1";"Goodpasture's syndrome (Nonsurgical)"
"2.2.13.28.2";"Pulmonary vasculitis not defined (Nonsurgical)"
"2.2.13.30.1";"Pulmonary embolus (thrombus) (Nonsurgical)"
"2.2.13.30.2";"Fat embolus (Nonsurgical)"
"2.2.13.30.3";"Venous air embolus (Nonsurgical)"
"2.2.13.30.4";"Pulmonary tumour embolus (Nonsurgical)"
"2.2.13.30.5";"Amniotic fluid embolus (Nonsurgical)"
"2.2.13.38.1";"Traumatic damage to pulmonary vessels (Nonsurgical)"
"2.2.13.38.2";"Instrumental damage to pulmonary vessels (Nonsurgical)"
"2.3.4.30.3";"Meconium ileus (Nonsurgical)"
"2.3.4.38.1";"Non-traumatic duodenal rupture (Nonsurgical)"
"2.3.4.38.2";"Traumatic duodenal rupture (Nonsurgical)"
"2.3.4.38.3";"Instrumental damage to duodenum (Nonsurgical)"
"2.3.4.38.4";"Duodenal perforation due to ulcers (Nonsurgical)"
"2.3.4.38.5";"Leaking duodenal anastomosis (Nonsurgical)"
"2.3.4.38.6";"Duodeno-vascular fistula (Nonsurgical)"
"2.3.4.38.7";"Duodenal fistula (Nonsurgical)"
"2.3.4.39.1";"Duodenal or ampullary tumour (Nonsurgical)"
"2.3.5.15.1";"Entero-vascular fistula (Nonsurgical)"
"2.3.5.15.2";"Small bowel arterio-venous malformation (Nonsurgical)"
"2.3.5.27.1";"Infective enteritides (Nonsurgical)"
"2.3.5.27.2";"Necrotising enterocolitis (Nonsurgical)"
"2.3.5.28.1";"Crohn's disease of small bowel (Nonsurgical)"
"2.3.5.28.2";"Inflammatory perforation of small bowel (Nonsurgical)"
"2.3.5.30.1";"Small bowel herniation (Nonsurgical)"
"2.3.5.30.2";"Small bowel volvulus (Nonsurgical)"
"2.3.5.30.3";"Small bowel adhesions (Nonsurgical)"
"2.3.5.30.4";"Small bowel intussusception (Nonsurgical)"
"2.3.5.30.5";"Small bowel tumour (Nonsurgical)"
"2.3.5.30.6";"Small bowel inflammatory masses (Nonsurgical)"
"2.3.5.38.1";"Non-traumatic small bowel perforation (Nonsurgical)"
"2.3.5.38.2";"Traumatic small bowel perforation (Nonsurgical)"
"2.3.5.38.3";"Instrumental damage to small bowel (Nonsurgical)"
"2.3.5.38.4";"Leaking small bowel anastomosis (Nonsurgical)"
"2.3.5.38.5";"Entero-enteric or entero-cutaneous fistula (Nonsurgical)"
"2.3.5.39.1";"Small bowel tumour (Nonsurgical)"
"2.3.5.41.1";"Visceral artery stenosis or occlusion (Nonsurgical)"
"2.3.5.41.2";"Visceral artery embolism (Nonsurgical)"
"2.3.5.41.3";"Visceral infarction due to primary vascular disease (Nonsurgical)"
"2.3.5.41.4";"Small bowel infarction due to herniation, volvulus or adhesions (Nonsurgical)"
"2.3.6.8.1";"Imperforate anus or rectum (Nonsurgical)"
"2.3.6.8.2";"Hirschsprung's disease (Nonsurgical)"
"2.3.6.15.1";"Colonic or rectal bleeding (Nonsurgical)"
"2.3.6.15.2";"Colo-vascular fistula (Nonsurgical)"
"2.3.6.27.1";"Infective colitis or proctocolitis (Nonsurgical)"
"2.3.6.27.2";"Necrotising enterocolitis (Nonsurgical)"
"2.3.6.27.3";"Diverticulitis or diverticular abscess (Nonsurgical)"
"2.3.6.27.4";"Appendicitis or appendix abscess (Nonsurgical)"
"2.3.6.28.1";"Crohn's disease of large bowel, rectum or anus (Nonsurgical)"
"2.3.6.28.2";"Ulcerative colitis (Nonsurgical)"
"2.3.6.28.3";"Toxic dilatation of large bowel (Nonsurgical)"
"2.3.6.28.4";"Diverticulitis or diverticular abscess (Nonsurgical)"
"2.3.6.28.5";"Appendicitis or appendix abscess (Nonsurgical)"
"2.3.6.28.6";"Ischaemic colitis (Nonsurgical)"
"2.3.6.30.1";"Large bowel herniation (Nonsurgical)"
"2.3.6.30.2";"Large bowel volvulus (Nonsurgical)"
"2.3.6.30.3";"Large bowel adhesions (Nonsurgical)"
"2.3.6.30.4";"Large bowel intussusception or prolapse (Nonsurgical)"
"2.3.6.30.5";"Large bowel tumour (Nonsurgical)"
"2.3.6.30.6";"Large bowel inflammatory masses (Nonsurgical)"
"2.3.6.38.1";"Non-traumatic large bowel perforation or rupture (Nonsurgical)"
"2.3.6.38.2";"Traumatic large bowel perforation or rupture (Nonsurgical)"
"2.3.6.38.3";"Instrumental damage to large bowel (Nonsurgical)"
"2.3.6.38.4";"Leaking large bowel anastomosis (Nonsurgical)"
"2.3.6.38.5";"Large bowel fistula (Nonsurgical)"
"2.3.6.38.6";"Non-accidental injury to large bowel, rectum or anus (Nonsurgical)"
"2.3.6.39.1";"Large bowel tumour (Nonsurgical)"
"2.3.6.41.1";"Large bowel artery stenosis or occlusion (Nonsurgical)"
"2.3.6.41.2";"Large bowel artery embolization (Nonsurgical)"
"2.3.6.41.3";"Large bowel infarction due to primary vascular disease (Nonsurgical)"
"2.3.6.41.4";"Large bowel infarction due to herniation, volvulus or adhesions (Nonsurgical)"
"2.3.6.41.5";"Ischaemic colitis (Nonsurgical)"
"2.3.7.8.1";"Biliary atresia (Nonsurgical)"
"2.3.7.8.2";"Cholelithiasis (Nonsurgical)"
"2.3.7.8.3";"Cystic liver disease (Nonsurgical)"
"2.3.7.15.1";"Variceal bleeding (Nonsurgical)"
"2.3.7.15.2";"Spontaneous subcapsular haematoma (Nonsurgical)"
"2.3.7.15.3";"Bleeding from the biliary tree (Nonsurgical)"
"2.3.7.27.1";"Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder (Nonsurgical)"
"2.3.7.27.2";"Infective hepatitis (Nonsurgical)"
"2.3.7.27.3";"Infective cholangitis (Nonsurgical)"
"2.3.7.27.4";"Hepatic abscess (Nonsurgical)"
"2.3.7.27.5";"Hydatid disease (Nonsurgical)"
"2.3.7.27.6";"Leptospirosis (Nonsurgical)"
"2.3.7.28.1";"Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder (Nonsurgical)"
"2.3.7.28.2";"Alcoholic cirrhosis (Nonsurgical)"
"2.3.7.28.3";"Acute alcoholic hepatitis (Nonsurgical)"
"2.3.7.28.4";"Drug induced hepatitis or hepatic necrosis (Nonsurgical)"
"2.3.7.28.5";"Chronic cirrhosis cause not defined (Nonsurgical)"
"2.3.7.28.6";"Sclerosing cholangitis (Nonsurgical)"
"2.3.7.28.7";"Reye's or Reye-like syndrome  (Nonsurgical)"
"2.3.7.30.1";"Biliary tree obstruction (Nonsurgical)"
"2.3.7.30.2";"Biliary atresia (Nonsurgical)"
"2.3.7.30.3";"Sclerosing cholangitis (Nonsurgical)"
"2.3.7.30.4";"Cholelithiasis (Nonsurgical)"
"2.3.7.38.1";"Traumatic rupture or laceration of liver (Nonsurgical)"
"2.3.7.38.2";"Perforated biliary tree or gall bladder (Nonsurgical)"
"2.3.7.38.3";"Instrumental damage to liver or biliary tree (Nonsurgical)"
"2.3.7.38.4";"Hepatic artery aneurysm (Nonsurgical)"
"2.3.7.38.5";"Biliary fistula (Nonsurgical)"
"2.3.7.38.6";"Leaking biliary anastamosis (Nonsurgical)"
"2.3.7.37.1";"Liver transplant (Nonsurgical)"
"2.3.7.37.2";"Liver transplant rejection (Nonsurgical)"
"2.3.7.39.1";"Primary hepatic tumour (Nonsurgical)"
"2.3.7.39.2";"Secondary hepatic tumour (Nonsurgical)"
"2.3.7.39.3";"Biliary tree tumour (Nonsurgical)"
"2.3.7.39.4";"Carcinoid tumour (Nonsurgical)"
"2.3.7.41.1";"Gangrenous gall bladder (Nonsurgical)"
"2.3.7.41.2";"Portal vein occlusion or thrombosis (Nonsurgical)"
"2.3.7.41.3";"Hepatic vein occlusion or thrombosis (Nonsurgical)"
"2.3.7.41.4";"Hepatic artery aneurysm (Nonsurgical)"
"2.3.7.41.5";"Hepatic infarction (Nonsurgical)"
"2.3.7.41.6";"Portal hypertension (Nonsurgical)"
"2.3.8.38.1";"Traumatic rupture or laceration of spleen (Nonsurgical)"
"2.3.8.38.2";"Spontaneous splenic rupture (Nonsurgical)"
"2.3.8.39.1";"Hypersplenism (Nonsurgical)"
"2.3.8.39.2";"Lymphoma (Nonsurgical)"
"2.3.9.15.1";"Pancreatic bleeding (Nonsurgical)"
"2.3.9.27.1";"Pancreatic abscess or infected pseudocyst (Nonsurgical)"
"2.3.9.27.2";"Infective pancreatitis (Nonsurgical)"
"2.3.9.28.1";"Acute pancreatitis (Nonsurgical)"
"2.3.9.28.2";"Chronic pancreatitis (Nonsurgical)"
"2.3.9.38.1";"Traumatic pancreatitis or pancreatic damage (Nonsurgical)"
"2.3.9.38.2";"Instrumental damage to pancreatic duct (Nonsurgical)"
"2.3.9.38.3";"Pancreatic fistula (Nonsurgical)"
"2.3.9.39.1";"Pancreatic or pancreato-duodenal tumour (Nonsurgical)"
"2.3.10.8.1";"Exomphalos (Nonsurgical)"
"2.3.10.8.2";"Gastroschisis or exomphalos (Nonsurgical)"
"2.3.10.8.3";"Diaphragmatic hernia (Nonsurgical)"
"2.3.10.8.4";"Inguinal or femoral hernia (Nonsurgical)"
"2.3.10.8.5";"Hernia not defined (Nonsurgical)"
"2.3.10.15.1";"Retroperitoneal haemorrhage (Nonsurgical)"
"2.3.10.27.1";"Primary peritonitis (Nonsurgical)"
"2.3.10.27.2";"Intra-peritoneal abscess (not pelvic) (Nonsurgical)"
"2.3.10.27.3";"CAPD related peritonitis (Nonsurgical)"
"2.3.10.27.4";"Fournier's gangrene of abdominal wall (Nonsurgical)"
"2.3.10.27.5";"Necrotising fasciitis (Nonsurgical)"
"2.3.10.27.6";"Pelvic infection or abscess (Nonsurgical)"
"2.3.10.27.7";"Retroperitoneal abscess or infection (Nonsurgical)"
"2.3.10.27.8";"Tuberculous peritonitis (Nonsurgical)"
"2.3.10.38.1";"Trauma to abdominal wall (Nonsurgical)"
"2.3.10.38.2";"Abdominal wound dehiscence (Nonsurgical)"
"2.3.10.38.3";"Ruptured diaphragm (Nonsurgical)"
"2.3.10.39.1";"Primary retroperitoneal malignancy (Nonsurgical)"
"2.3.10.39.2";"Secondary retroperitoneal malignancy (Nonsurgical)"
"2.4.1.15.2";"Epistaxis (Nonsurgical)"
"2.4.1.27.1";"Mandible, facial bones, dental or salivary infection (Nonsurgical)"
"2.4.1.27.2";"Tonsil or pharyngeal infection (Nonsurgical)"
"2.4.1.27.3";"Orbital cellulitis (Nonsurgical)"
